Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
51,4,2.3205,0.990552,0.5669,0.521,0.5669,0.5349,0.7719,-0.027337,1.858,5.4236
52,1,2.3003,0.984714,0.5687,0.5229,0.5687,0.5404,0.7569,-0.030082,1.8612,5.3701
52,2,2.1916,0.949158,0.6056,0.5614,0.6056,0.5682,0.7726,-0.015423,1.7913,5.0906
52,3,2.1654,0.986393,0.5722,0.5248,0.5722,0.524,0.7642,-0.010556,1.7594,4.9165
52,4,2.3197,0.994587,0.5757,0.5305,0.5757,0.5456,0.7618,-0.022968,1.8508,5.4117
53,1,2.2745,0.961241,0.5898,0.5295,0.5898,0.5498,0.7724,-0.015488,1.8483,5.3389
53,2,2.2129,0.977638,0.5898,0.5274,0.5898,0.5244,0.7691,-0.028742,1.7976,5.0951
53,3,2.1844,1.008401,0.5546,0.4994,0.5546,0.5055,0.7617,0.01335,1.7555,4.9285
53,4,2.287,0.969981,0.5968,0.545,0.5968,0.5608,0.7786,-0.017642,1.8414,5.3599
54,1,2.3072,0.971276,0.5915,0.5378,0.5915,0.5467,0.7653,-0.038571,1.8687,5.4243
54,2,2.1931,0.958141,0.5951,0.53,0.5951,0.5415,0.7846,-0.025365,1.7903,5.0745
54,3,2.148,0.959855,0.5722,0.5224,0.5722,0.5303,0.772,-0.027327,1.7569,4.9203
54,4,2.2511,0.921745,0.6232,0.574,0.6232,0.5895,0.7889,-0.006443,1.841,5.3528
55,1,2.2675,0.92942,0.6074,0.5453,0.6074,0.5648,0.7923,-0.031424,1.8601,5.3895
55,2,2.2104,0.994741,0.5722,0.5344,0.5722,0.5319,0.7501,-0.026022,1.7897,5.0471
55,3,2.156,0.941253,0.5757,0.5142,0.5757,0.5371,0.7947,-0.012778,1.7724,4.9904
55,4,2.2916,0.940334,0.6039,0.558,0.6039,0.5678,0.7919,-0.023586,1.8541,5.4447
56,1,2.2523,0.933979,0.6109,0.5617,0.6109,0.562,0.783,-0.024456,1.8507,5.3282
56,2,2.1708,0.950261,0.5863,0.5305,0.5863,0.531,0.7856,-0.005782,1.7807,5.0186
56,3,2.1272,0.923568,0.5968,0.548,0.5968,0.5525,0.8033,-0.020978,1.7599,4.9356
56,4,2.2702,0.949439,0.5933,0.5514,0.5933,0.561,0.7849,-0.018846,1.8423,5.3519
57,1,2.2658,0.962084,0.6021,0.5402,0.6021,0.5596,0.7715,-0.011144,1.8483,5.3079
